DATE;GNP;GD87;LHMUR
1948-01-01;252.4;19.557601;3.133333333
1948-04-01;259.7;19.8105;3.2
1948-07-01;266.6001;20.1477;3.133333333
1948-10-01;267.8999;20.063399;3.366666667
1949-01-01;262.7;19.8948;4.2
1949-04-01;259.2;19.7262;5.3
1949-07-01;260.8999;19.7262;6.133333333
1949-10-01;258.6001;19.7262;6.6
1950-01-01;269.3;19.8105;5.666666667
1950-04-01;278.8999;19.8948;4.966666667
1950-07-01;296.7;20.400601;4.033333333
1950-10-01;308.1001;20.6535;3.466666667
1951-01-01;322.8999;21.1593;2.733333333
1951-04-01;330.8999;21.1593;2.3
1951-07-01;337.7;21.075;2.466666667
1951-10-01;342.1001;21.243601;2.633333333
1952-01-01;345.2;21.243601;2.4
1952-04-01;345.7;21.327899;2.333333333
1952-07-01;351.6001;21.4965;2.733333333
1952-10-01;364;21.8337;2.2
1953-01-01;370.7;21.8337;2.266666667
1953-04-01;374.1001;21.8337;2.266666667
1953-07-01;373.3;21.918;2.266666667
1953-10-01;368.2;21.749399;3.133333333
1954-01-01;367.8999;22.086601;4.4
1954-04-01;368.1001;22.170899;5.133333333
1954-07-01;372.8;22.170899;5.333333333
1954-10-01;381.2;22.3395;4.9
1955-01-01;394;22.592399;4.166666667
1955-04-01;402.3;22.8453;3.833333333
1955-07-01;410.5;23.013899;3.366666667
1955-10-01;416.8999;23.0982;3.433333333
1956-01-01;419.5;23.351101;3.366666667
1956-04-01;425.1001;23.5197;3.4
1956-07-01;429.8999;23.772601;3.333333333
1956-10-01;438.3;24.0255;3.4
1957-01-01;447.3;24.278399;3.233333333
1957-04-01;449.3999;24.3627;3.366666667
1957-07-01;456.5;24.615601;3.533333333
1957-10-01;450.8999;24.699899;4.4
1958-01-01;443.8999;24.8685;5.7
1958-04-01;447.8999;24.9528;6.833333333
1958-07-01;461;25.037101;6.766666667
1958-10-01;474.2;25.2057;5.8
1959-01-01;486.2;25.4;5.133333333
1959-04-01;498.8999;25.6;4.2
1959-07-01;499.3;25.7;4.466666667
1959-10-01;503.6001;25.8;4.8
1960-01-01;517;26;4.366666667
1960-04-01;516;26;4.4
1960-07-01;519;26.1;4.833333333
1960-10-01;514.2;26;5.433333333
1961-01-01;518.8;26.1;5.866666667
1961-04-01;529.3999;26.2;6.066666667
1961-07-01;540.2;26.4;5.8
1961-10-01;553.2;26.5;5.2
1962-01-01;565.7;26.7;4.6
1962-04-01;573.5;26.8;4.666666667
1962-07-01;580.3;26.9;4.633333333
1962-10-01;583.7;27.1;4.533333333
1963-01-01;592.7;27.1;4.766666667
1963-04-01;601.1001;27.1;4.433333333
1963-07-01;613.8999;27.2;4.2
1963-10-01;623;27.4;4.3
1964-01-01;639.8999;27.5;4.133333333
1964-04-01;648.5;27.6;3.833333333
1964-07-01;659.2;27.8;3.733333333
1964-10-01;664.5;27.9;3.666666667
1965-01-01;685.3;28.2;3.533333333
1965-04-01;697.7;28.3;3.333333333
1965-07-01;713.7;28.5;3.066666667
1965-10-01;735.6001;28.7;2.733333333
1966-01-01;758.2;29;2.633333333
1966-04-01;767.3;29.3;2.466666667
1966-07-01;780.3;29.5;2.466666667
1966-10-01;793.8999;29.9;2.4
1967-01-01;803;30;2.333333333
1967-04-01;809;30.1;2.4
1967-07-01;826.2;30.4;2.266666667
1967-10-01;841;30.8;2.333333333
1968-01-01;865.5;31.2;2.333333333
1968-04-01;889.8;31.6;2.133333333
1968-07-01;906.6001;32;2.133333333
1968-10-01;920;32.4;2
1969-01-01;943.7;32.7;1.966666667
1969-04-01;957.3;33.2;2
1969-07-01;976.7;33.7;2.166666667
1969-10-01;984.8;34.1;2.266666667
1970-01-01;996;34.5;2.733333333
1970-04-01;1010.4;35.1;3.3
1970-07-01;1029.4;35.3;3.766666667
1970-10-01;1032.5;35.7;4.3
1971-01-01;1077.3;36.4;4.366666667
1971-04-01;1096.2;37;4.333333333
1971-07-01;1115.7;37.4;4.4
1971-10-01;1130.2;37.7;4.4
1972-01-01;1169.2;38.2;4.2
1972-04-01;1200.8;38.6;4.066666667
1972-07-01;1226.8;39;3.9
1972-10-01;1265.9;39.6;3.666666667
1973-01-01;1315.1;40.1;3.4
1973-04-01;1346.2;40.9;3.366666667
1973-07-01;1372.3;41.6;3.133333333
1973-10-01;1415.6;42.6;3.066666667
1974-01-01;1428.1;43.3;3.5
1974-04-01;1460.7;44.2;3.466666667
1974-07-01;1490.2;45.5;3.766666667
1974-10-01;1518.3;46.7;4.7
1975-01-01;1525.2;48;6.4
1975-04-01;1564;48.7;7.166666667
