date;GDP1Y_AUS;GDP_AUS;CPI_AUS;CPI_CAN;CPI_CHE;CPI_UKD;CPI_INO;CPI_INA;CPI_JPN;CPI_KOR;CPI_USA;IR3TBB01AUQ156N;STR_AUS;STR_CAN;STR_CHE;STR_UKD;STR_JPN;STR_USA;GDP1Y_CAN;GDP_CAN;GDP1Y_CHE;GDP_CHE;GDP1Y_UKD;GDP_UKD;GDP1Y_INO;GDP_INO;GDP1Y_INA;GDP_INA;GDP1Y_JPN;GDP_JPN;GDP1Y_KOR;GDP_KOR;GDP1Y_USA;GDP_USA
1956-01-01;;;3,0769230;0,2364066;0,6385257;5,5370240;;;-0,7526882;;0,3745318;;;2,8533333;;;;;;;;;;;;;;;;;;;;
1956-04-01;;;6,0606060;0,4728132;1,4133110;6,5512410;;;0,4667864;;1,2484390;;;3,5000000;;;;;;;;;;;;;;;;;;;;
1956-07-01;;;7,5757580;2,1226420;1,9304430;4,6640710;;;0,3953990;;1,9875780;;;4,0633333;;;;;;;;;;;;;;;;;;;;
1956-10-01;;;5,9701490;2,5821600;2,0557890;3,2449830;;;1,4822850;;2,4813900;;;4,5200000;;;;;;;;;;;;;;;;;;;;
1957-01-01;;;5,9701490;3,3018870;2,1389770;3,8167940;;;2,5641030;;3,3582090;;;5,2066667;;;;;;;;;;;;;;;;;;;;
1957-04-01;;;2,8571430;4,0000000;1,7941220;2,3407020;;;2,7519660;;3,5758320;;;5,3200000;;;;;;;;;;;;;;;;;;;;
1957-07-01;;;1,4084510;3,2332560;1,8167340;4,1449080;;;4,5112780;;3,4104750;;;5,3200000;;;;;;;;;;;;;;;;;;;;
1957-10-01;;;1,4084510;2,7459960;2,1084150;4,4631300;;;2,5650160;;3,0266340;;;5,1766667;;;;;;;;;;;;;;;;;;;;
1958-01-01;;;1,4084510;2,9680360;2,1313790;3,6125320;;3,0528050;0,2816902;;3,4897710;;;4,1233333;;;;;;;;;;;;;;;;;;;;
1958-04-01;;;0,0000000;2,4886880;2,3212220;4,5108000;;2,7200000;-0,7652174;;3,2142860;;;2,9100000;;;;;;;;;;;;;;;;;;;;
1958-07-01;;;0,0000000;1,7897090;1,8588680;1,9116260;;6,1718750;-1,4388490;;2,2379270;;;2,6033333;;;;;;;;;;;;;;;;;;;;
1958-10-01;;;1,3888890;2,2271710;1,0700050;1,9814240;;7,0093460;0,0347343;;1,9976500;;;2,9966667;;;;;;;;;;;;;;;;;;;;
1959-01-01;;;1,3888890;1,5521060;0,2755824;2,1289730;;6,4851880;0,6320225;;0,9302326;;;3,9000000;;;;;;;;;;;;;;;;;;;;
1959-04-01;;;1,3888890;0,6622517;-1,0028930;-0,3343465;;4,9844240;0,8061690;;0,4613610;;;5,0366667;;;;;;;;;;;;;;;;;;;;
1959-07-01;;;2,7777780;1,3186810;-1,1674370;0,5535055;;3,6055920;1,0427530;;1,0368660;;;6,1033333;;;;;;;;;;;;;;;;;;;;
1959-10-01;;;2,7397260;1,3071900;-0,6941947;0,0000000;;3,3478890;1,8402780;;1,6129030;;;5,6900000;;;;;;;;;;;;;;;;;;;;
1960-01-01;;;2,7397260;1,3100440;0,3329378;-0,4531722;;3,6842110;3,3845080;8,0298342;1,4976960;;;4,9166667;;;;;;;;;;;;;;;;;;;;
1960-04-01;;2,75250;4,1095890;1,9736840;1,5743720;1,0978960;;3,3382790;3,9638390;9,1533014;1,7221580;;;3,9800000;;;;;;;;;;-0,70143;;;;;;;;4,49601;;-0,53836
1960-07-01;;0,22561;4,0540540;0,8676789;2,0128200;1,5290520;;1,1363640;3,6119710;9,4713077;1,2542760;;;3,1066667;;;;;;;;;;1,48978;;;;;;;;-1,11156;;0,48993
1960-10-01;;-0,19276;4,0000000;1,2903230;1,8363580;1,8518520;;-0,8450704;3,3412890;5,2559268;1,3605440;;;3,9833333;;;;;;;;;;0,58118;;;;;;;;0,59630;;-1,28313
1961-01-01;3,09357;0,29942;4,0000000;1,5086210;1,4685120;2,3672230;;1,2327770;4,0499490;10,5644260;1,4755960;;;3,6966667;;;;;;;;;3,02388;1,63796;;;;;;;7,27803;3,20093;-0,66752;0,67502
1961-04-01;-0,76759;-1,09588;3,9473680;1,2903230;1,3857420;3,0165910;;1,0768130;3,8127090;8,0557645;0,9029346;;;3,5300000;;;;;;2,53213;;;4,18112;0,41395;;;;;;;7,09367;4,31642;1,56578;1,69785
1961-07-01;-1,70248;-0,71864;1,2987010;1,2903230;1,6101390;4,1566270;;1,5449440;5,3120850;7,5741927;1,2387390;;;3,1366667;;;;;;2,43342;;;2,14305;-0,49565;;;;;;;6,32077;-1,82525;3,01153;1,92037
1961-10-01;-0,39404;1,13578;0,0000000;0,0000000;2,9046330;4,2324890;;2,9119320;8,2481030;6,6686765;0,6711410;;;3,1066667;;;;;;1,36048;;;1,36116;-0,18875;;;;;;;7,06139;1,29704;6,39750;1,96167
1962-01-01;2,09612;2,80691;0,0000000;0,0000000;4,1075040;4,7153870;;3,1518620;7,7197530;1,0270516;0,8948546;;;3,4021667;;;;;9,28878;2,66095;;;0,15864;0,43215;;;;;;;5,80717;1,99193;7,56916;1,78366
1962-04-01;5,21082;1,92145;-1,2658230;0,8492569;4,8204590;5,6295750;;3,7642050;8,4085050;5,3769807;1,3422820;;;3,6970000;;;;;7,43693;0,79477;;;0,68889;0,94556;;;;;;;-0,46581;-1,86817;6,73027;0,90475
1962-07-01;6,82389;0,80352;0,0000000;1,4862000;4,8627950;3,8403700;;3,8727520;6,9356870;7,5874018;1,2235820;;;5,6135000;;;;;6,22603;1,27891;;;1,80916;0,61145;;;;;;;4,35270;2,92745;6,00687;1,22957
1962-10-01;7,52284;1,79751;0,0000000;1,9108280;3,4885600;2,6486990;;3,7267080;4,4193840;12,5355232;1,3333330;;;4,5521667;;;;;6,85668;1,96224;;;1,63440;-0,36009;;;;;;;5,98343;2,88002;4,30985;0,32940
1963-01-01;7,00227;2,30917;0,0000000;1,9108280;3,6324590;3,1270790;;2,0138890;6,6230120;15,9275581;1,2195120;;;4,1885000;;;;;4,74697;0,63409;;;1,65931;0,45677;;;;;;;10,00225;5,85939;3,60111;1,09209
1963-04-01;3,62514;-1,29532;0,0000000;1,0526320;3,1921850;1,5635180;;2,6009580;7,0063470;14,1780842;1,1037530;;;3,6723333;;;;;5,43244;1,45437;;;5,06869;4,33099;;;;;;;9,45253;-2,35856;3,82459;1,12241
1963-07-01;7,01631;4,10235;1,2820510;1,8828450;3,0591390;1,3089000;;2,5965380;6,7423750;27,4188038;1,2087910;;;4,0345000;;;;;4,89218;0,75994;;;4,89130;0,44159;;;;;;;9,84346;3,29507;4,81870;2,19883
1963-10-01;7,37773;2,14130;1,2820510;1,6666670;3,8774960;2,0949260;;4,5242850;6,4589920;24,6228618;1,4254390;;;4,1475000;;;;;6,09302;3,12953;;;7,65970;2,26971;;;;;;;6,86818;0,09336;5,15981;0,65590
1964-01-01;4,78382;-0,16230;2,5641030;1,8750000;3,3342890;1,5161290;;9,2579980;3,3408410;37,0178395;1,5334060;;;4,1440000;;;;;8,06371;2,50338;;;7,87897;0,66137;;;;;;;6,98039;5,97054;6,21734;2,10871
1964-04-01;8,77756;2,46672;2,5641030;2,5000000;3,5241130;2,7902500;;11,0740500;3,3222590;40,5282362;1,3100440;;;4,0626667;;;;;6,91350;0,37450;;;5,33241;1,86819;;;;;;;6,41470;-2,87487;6,18231;1,08907
1964-07-01;5,13913;0,62029;2,5316460;1,6427100;3,0008450;4,3281660;;14,9253700;3,3773860;18,0871413;1,1943540;;;4,1875000;;;;3,8633333;7,23963;1,06730;;;5,25537;0,36812;;;;;;;10,03104;6,80540;5,52129;1,56260
1964-10-01;5,85868;2,84034;3,7974680;1,6393440;2,4777890;4,4886180;;17,8230400;5,1384840;24,8433732;1,0810810;;;4,4433333;;;;4,0233333;4,50700;0,50163;;;4,46551;1,50226;;;;;;;14,34704;4,01955;5,15781;0,30919
1965-01-01;6,92263;0,84113;2,5000000;1,8404910;2,4672260;4,5122340;;14,3302200;6,8652380;15,2814833;1,0787490;;;4,3921667;;;;4,1966667;5,19790;3,18104;;;3,49711;-0,27176;;;;;;;9,28420;1,27857;5,47830;2,41991
1965-04-01;5,98365;1,56687;3,7500000;2,2357720;2,7790680;5,1794070;;9,7897900;7,2168630;11,1316547;1,7241380;;;4,6603333;;;;4,3033333;5,76494;0,91554;;;1,65929;0,05929;;;;;;;12,77337;0,22609;5,66027;1,26347
1965-07-01;5,02042;-0,29419;3,7037040;2,4242420;3,8077500;4,8297210;;8,7521170;6,5340910;17,4485294;1,7167380;;;5,0986667;;;;4,3100000;6,10847;1,39558;;;2,10485;0,80803;;;;;;;4,75251;-0,79099;6,34748;2,22316
1965-10-01;2,36688;0,24189;3,6585370;2,8225810;4,5816300;4,5719550;;5,6726090;6,0311960;10,6111686;1,8181820;;;5,6500000;;;;4,5666667;8,16643;2,45085;;;1,23753;0,64005;;;;;;;3,05344;2,33237;8,46227;2,30390
1966-01-01;1,22056;-0,28811;4,8780490;3,6144580;5,3673670;4,3782310;;7,1934600;5,8123730;8,3825364;2,3479190;;;6,0391667;;;;5,0633333;6,87159;1,94588;;;1,66133;0,14572;;;;;;;7,98894;6,12907;8,47702;2,43384
