DATE	FEDFUNDS	MCOILWTICO	OILPRICE	UNRATE
1946-01-01			1.170	
1946-02-01			1.170	
1946-03-01			1.170	
1946-04-01			1.270	
1946-05-01			1.270	
1946-06-01			1.270	
1946-07-01			1.270	
1946-08-01			1.520	
1946-09-01			1.520	
1946-10-01			1.520	
1946-11-01			1.520	
1946-12-01			1.620	
1947-01-01			1.620	
1947-02-01			1.620	
1947-03-01			1.620	
1947-04-01			1.870	
1947-05-01			1.870	
1947-06-01			1.870	
1947-07-01			1.870	
1947-08-01			1.870	
1947-09-01			1.870	
1947-10-01			1.870	
1947-11-01			2.070	
1947-12-01			2.070	
1948-01-01			2.570	3.4
1948-02-01			2.570	3.8
1948-03-01			2.570	4.0
1948-04-01			2.570	3.9
1948-05-01			2.570	3.5
1948-06-01			2.570	3.6
1948-07-01			2.570	3.6
1948-08-01			2.570	3.9
1948-09-01			2.570	3.8
1948-10-01			2.570	3.7
1948-11-01			2.570	3.8
1948-12-01			2.570	4.0
1949-01-01			2.570	4.3
1949-02-01			2.570	4.7
1949-03-01			2.570	5.0
1949-04-01			2.570	5.3
1949-05-01			2.570	6.1
1949-06-01			2.570	6.2
1949-07-01			2.570	6.7
1949-08-01			2.570	6.8
1949-09-01			2.570	6.6
1949-10-01			2.570	7.9
1949-11-01			2.570	6.4
1949-12-01			2.570	6.6
1950-01-01			2.570	6.5
1950-02-01			2.570	6.4
1950-03-01			2.570	6.3
1950-04-01			2.570	5.8
1950-05-01			2.570	5.5
1950-06-01			2.570	5.4
1950-07-01			2.570	5.0
1950-08-01			2.570	4.5
1950-09-01			2.570	4.4
1950-10-01			2.570	4.2
1950-11-01			2.570	4.2
1950-12-01			2.570	4.3
1951-01-01			2.570	3.7
1951-02-01			2.570	3.4
1951-03-01			2.570	3.4
1951-04-01			2.570	3.1
1951-05-01			2.570	3.0
1951-06-01			2.570	3.2
1951-07-01			2.570	3.1
1951-08-01			2.570	3.1
1951-09-01			2.570	3.3
1951-10-01			2.570	3.5
1951-11-01			2.570	3.5
1951-12-01			2.570	3.1
1952-01-01			2.570	3.2
1952-02-01			2.570	3.1
