DATE	GDPC1	GDPDEF	GDPPOT	NROU
1947-01-01	1934.5	12.566		
1947-04-01	1932.3	12.745		
1947-07-01	1930.3	12.957		
1947-10-01	1960.7	13.276		
1948-01-01	1989.5	13.379		
1948-04-01	2021.9	13.497		
1948-07-01	2033.2	13.747		
1948-10-01	2035.3	13.789		
1949-01-01	2007.5	13.717	2025	5.3
1949-04-01	2000.8	13.579	2048	5.3
1949-07-01	2022.8	13.509	2071	5.3
1949-10-01	2004.7	13.518	2095	5.3
1950-01-01	2084.6	13.490	2119	5.3
1950-04-01	2147.6	13.538	2144	5.3
1950-07-01	2230.4	13.832	2170	5.3
1950-10-01	2273.4	14.090	2197	5.3
1951-01-01	2304.5	14.596	2225	5.3
1951-04-01	2344.5	14.692	2254	5.3
1951-07-01	2392.8	14.701	2284	5.3
1951-10-01	2398.1	14.869	2314	5.3
1952-01-01	2423.5	14.863	2343	5.4
1952-04-01	2428.5	14.882	2373	5.4
1952-07-01	2446.1	15.048	2401	5.4
1952-10-01	2526.4	15.091	2429	5.4
1953-01-01	2573.4	15.096	2455	5.4
1953-04-01	2593.5	15.125	2479	5.4
1953-07-01	2578.9	15.188	2502	5.4
1953-10-01	2539.8	15.219	2524	5.4
1954-01-01	2528.0	15.266	2545	5.4
1954-04-01	2530.7	15.281	2564	5.4
1954-07-01	2559.4	15.300	2584	5.4
1954-10-01	2609.3	15.343	2603	5.4
1955-01-01	2683.8	15.417	2622	5.4
1955-04-01	2727.5	15.481	2642	5.4
1955-07-01	2764.1	15.590	2662	5.4
1955-10-01	2780.8	15.743	2683	5.4
1956-01-01	2770.0	15.902	2704	5.4
1956-04-01	2792.9	15.997	2726	5.4
1956-07-01	2790.6	16.197	2748	5.4
1956-10-01	2836.2	16.264	2771	5.4
1957-01-01	2854.5	16.485	2794	5.4
1957-04-01	2848.2	16.601	2817	5.4
1957-07-01	2875.9	16.701	2842	5.4
1957-10-01	2846.4	16.711	2866	5.4
1958-01-01	2772.7	16.892	2890	5.4
1958-04-01	2790.9	16.940	2914	5.4
1958-07-01	2855.5	17.043	2937	5.4
1958-10-01	2922.3	17.123	2961	5.4
1959-01-01	2976.6	17.169	2985	5.4
1959-04-01	3049.0	17.194	3010	5.4
1959-07-01	3043.1	17.258	3035	5.4
1959-10-01	3055.1	17.326	3061	5.5
1960-01-01	3123.2	17.397	3089	5.5
1960-04-01	3111.3	17.443	3118	5.5
1960-07-01	3119.1	17.506	3149	5.5
1960-10-01	3081.3	17.560	3181	5.5
1961-01-01	3102.3	17.598	3214	5.5
1961-04-01	3159.9	17.641	3248	5.5
1961-07-01	3212.6	17.687	3282	5.5
1961-10-01	3277.7	17.745	3317	5.5
1962-01-01	3336.8	17.837	3351	5.5
1962-04-01	3372.7	17.866	3387	5.5
1962-07-01	3404.8	17.903	3423	5.5
1962-10-01	3418.0	17.938	3460	5.5
1963-01-01	3456.1	18.017	3497	5.5
1963-04-01	3501.1	18.047	3534	5.5
1963-07-01	3569.5	18.069	3572	5.6
1963-10-01	3595.0	18.216	3610	5.6
1964-01-01	3672.7	18.274	3648	5.6
1964-04-01	3716.4	18.318	3686	5.6
1964-07-01	3766.9	18.392	3725	5.6
1964-10-01	3780.2	18.476	3764	5.6
1965-01-01	3873.5	18.569	3804	5.6
1965-04-01	3926.4	18.652	3844	5.7
1965-07-01	4006.2	18.726	3885	5.7
1965-10-01	4100.6	18.853	3927	5.7
1966-01-01	4201.9	18.975	3970	5.7
1966-04-01	4219.1	19.131	4014	5.8
1966-07-01	4249.2	19.317	4059	5.8
1966-10-01	4285.6	19.481	4105	5.8
1967-01-01	4324.9	19.562	4152	5.8
1967-04-01	4328.7	19.661	4198	5.8
1967-07-01	4366.1	19.849	4245	5.8
1967-10-01	4401.2	20.067	4291	5.8
1968-01-01	4490.6	20.290	4337	5.8
1968-04-01	4566.4	20.504	4382	5.8
1968-07-01	4599.3	20.706	4428	5.8
1968-10-01	4619.8	20.999	4473	5.8
1969-01-01	4691.6	21.217	4518	5.8
1969-04-01	4706.7	21.488	4563	5.8
1969-07-01	4736.1	21.790	4607	5.9
1969-10-01	4715.5	22.071	4650	5.9
1970-01-01	4707.1	22.382	4692	5.9
1970-04-01	4715.4	22.694	4733	5.9
1970-07-01	4757.2	22.880	4772	5.9
1970-10-01	4708.3	23.182	4811	5.9
1971-01-01	4834.3	23.536	4850	5.9
1971-04-01	4861.9	23.846	4888	5.9
1971-07-01	4900.0	24.088	4925	6.0
1971-10-01	4914.3	24.288	4963	6.0
1972-01-01	5002.4	24.664	5002	6.0
1972-04-01	5118.3	24.815	5041	6.0
1972-07-01	5165.4	25.048	5081	6.1
1972-10-01	5251.2	25.366	5122	6.1
1973-01-01	5380.5	25.661	5165	6.1
1973-04-01	5441.5	26.052	5209	6.1
1973-07-01	5411.9	26.549	5255	6.1
1973-10-01	5462.4	27.077	5302	6.2
1974-01-01	5417.0	27.592	5351	6.2
1974-04-01	5431.3	28.248	5400	6.2
1974-07-01	5378.7	29.067	5451	6.2
1974-10-01	5357.2	29.923	5501	6.2
1975-01-01	5292.4	30.601	5551	6.2
1975-04-01	5333.2	31.059	5599	6.2
1975-07-01	5421.4	31.612	5647	6.2
1975-10-01	5494.4	32.139	5694	6.2
1976-01-01	5618.5	32.473	5740	6.2
1976-04-01	5661.0	32.803	5786	6.2
1976-07-01	5689.8	33.226	5832	6.2
1976-10-01	5732.5	33.815	5880	6.2
1977-01-01	5799.2	34.359	5929	6.2
1977-04-01	5913.0	34.841	5979	6.2
1977-07-01	6017.6	35.270	6031	6.2
1977-10-01	6018.2	36.036	6084	6.3
1978-01-01	6039.2	36.573	6138	6.3
1978-04-01	6274.0	37.242	6196	6.3
1978-07-01	6335.3	37.865	6254	6.3
1978-10-01	6420.3	38.661	6312	6.3
1979-01-01	6433.0	39.352	6368	6.3
1979-04-01	6440.8	40.304	6422	6.3
1979-07-01	6487.1	41.165	6473	6.3
1979-10-01	6503.9	41.986	6520	6.2
1980-01-01	6524.9	42.859	6562	6.2
1980-04-01	6392.6	43.800	6597	6.2
1980-07-01	6382.9	44.808	6630	6.2
1980-10-01	6501.2	46.046	6662	6.2
1981-01-01	6635.7	47.196	6696	6.2
1981-04-01	6587.3	48.081	6734	6.2
1981-07-01	6662.9	48.946	6774	6.2
1981-10-01	6585.1	49.863	6818	6.2
1982-01-01	6475.0	50.561	6867	6.1
1982-04-01	6510.2	51.170	6918	6.1
1982-07-01	6486.8	51.907	6970	6.1
1982-10-01	6493.1	52.483	7024	6.1
1983-01-01	6578.2	52.907	7075	6.1
1983-04-01	6728.3	53.265	7126	6.1
1983-07-01	6860.0	53.823	7178	6.1
1983-10-01	7001.5	54.219	7231	6.1
